Index,路名,起點,終點,速限,經度,緯度,Geohash
1,國道1號,159.5k,356.2k,110,120.251670,23.083210,wsje26h
2,國道1號,159.5k,356.2k,110,120.251750,23.082610,wsje26h
3,國道1號,159.5k,356.2k,110,120.251820,23.082010,wsje23u
4,國道1號,159.5k,356.2k,110,120.251890,23.081400,wsje23u
5,國道1號,159.5k,356.2k,110,120.251920,23.081190,wsje23u
6,國道1號,159.5k,356.2k,110,120.251920,23.081150,wsje23u
7,國道1號,159.5k,356.2k,110,120.251920,23.081130,wsje23u
8,國道1號,159.5k,356.2k,110,120.251930,23.081120,wsje23u
9,國道1號,159.5k,356.2k,110,120.251950,23.080940,wsje23u
10,國道1號,159.5k,356.2k,110,120.252030,23.080250,wsje23s
11,國道1號,159.5k,356.2k,110,120.252110,23.079580,wsje23s
12,國道1號,159.5k,356.2k,110,120.252110,23.079460,wsje23k
13,國道1號,159.5k,356.2k,110,120.252120,23.079420,wsje23k
14,國道1號,159.5k,356.2k,110,120.252120,23.079400,wsje23k
15,國道1號,159.5k,356.2k,110,120.252120,23.079380,wsje23k
16,國道1號,159.5k,356.2k,110,120.252130,23.079330,wsje23k
17,國道1號,159.5k,356.2k,110,120.252140,23.079250,wsje23k
18,國道1號,159.5k,356.2k,110,120.252150,23.079140,wsje23k
19,國道1號,159.5k,356.2k,110,120.252160,23.079080,wsje23k
20,國道1號,159.5k,356.2k,110,120.252170,23.078990,wsje23k
21,國道1號,159.5k,356.2k,110,120.252170,23.078950,wsje23k
22,國道1號,159.5k,356.2k,110,120.252170,23.078920,wsje23k
23,國道1號,159.5k,356.2k,110,120.252240,23.078340,wsje23m
24,國道1號,159.5k,356.2k,110,120.252240,23.078300,wsje23m
25,國道1號,159.5k,356.2k,110,120.252330,23.077550,wsje23j
26,國道1號,159.5k,356.2k,110,120.252340,23.077390,wsje23j
27,國道1號,159.5k,356.2k,110,120.252360,23.077160,wsje23j
28,國道1號,159.5k,356.2k,110,120.252360,23.077130,wsje23j
29,國道1號,159.5k,356.2k,110,120.252370,23.077120,wsje23j
30,國道1號,159.5k,356.2k,110,120.252370,23.077080,wsje23j
31,國道1號,159.5k,356.2k,110,120.252400,23.076530,wsje22v
32,國道1號,159.5k,356.2k,110,120.252460,23.075780,wsje22v
33,國道1號,159.5k,356.2k,110,120.252560,23.074730,wsje22t
34,國道1號,159.5k,356.2k,110,120.252590,23.074360,wsje22t
35,國道1號,159.5k,356.2k,110,120.252620,23.074050,wsje22t
36,國道1號,159.5k,356.2k,110,120.252680,23.073330,wsje22m
37,國道1號,159.5k,356.2k,110,120.252710,23.073090,wsje22m
38,國道1號,159.5k,356.2k,110,120.252720,23.072950,wsje22m
39,國道1號,159.5k,356.2k,110,120.252780,23.071880,wsje22j
40,國道1號,159.5k,356.2k,110,120.252790,23.071820,wsje22j
41,國道1號,159.5k,356.2k,110,120.252790,23.071790,wsje22j
42,國道1號,159.5k,356.2k,110,120.252790,23.071780,wsje22j
43,國道1號,159.5k,356.2k,110,120.252790,23.071760,wsje22j
44,國道1號,159.5k,356.2k,110,120.252800,23.071760,wsje22j
45,國道1號,159.5k,356.2k,110,120.252850,23.071130,wsje0rv
46,國道1號,159.5k,356.2k,110,120.252850,23.071120,wsje0rv
47,國道1號,159.5k,356.2k,110,120.252850,23.071110,wsje0rv
48,國道1號,159.5k,356.2k,110,120.252850,23.071100,wsje0rv
49,國道1號,159.5k,356.2k,110,120.252850,23.071090,wsje0rv
50,國道1號,159.5k,356.2k,110,120.252850,23.071080,wsje0rv
51,國道1號,159.5k,356.2k,110,120.252880,23.070590,wsje0rv
52,國道1號,159.5k,356.2k,110,120.252880,23.070570,wsje0rv
53,國道1號,159.5k,356.2k,110,120.252880,23.070550,wsje0rv
54,國道1號,159.5k,356.2k,110,120.252950,23.069320,wsje0rt
55,國道1號,159.5k,356.2k,110,120.252960,23.069140,wsje0rt
56,國道1號,159.5k,356.2k,110,120.253040,23.067460,wsje0rm
57,國道1號,159.5k,356.2k,110,120.253090,23.066380,wsje0rj
58,國道1號,159.5k,356.2k,110,120.253090,23.066360,wsje0rj
59,國道1號,159.5k,356.2k,110,120.253090,23.066340,wsje0rj
60,國道1號,159.5k,356.2k,110,120.253130,23.065350,wsje0qv
61,國道1號,159.5k,356.2k,110,120.253180,23.063610,wsje0qt
62,國道1號,159.5k,356.2k,110,120.253230,23.062250,wsje0qm
63,國道1號,159.5k,356.2k,110,120.253230,23.061420,wsje0qj
64,國道1號,159.5k,356.2k,110,120.253230,23.061200,wsje0qj
65,國道1號,159.5k,356.2k,110,120.253230,23.060030,wsje0mv
66,國道1號,159.5k,356.2k,110,120.253240,23.059720,wsje0mv
67,國道1號,159.5k,356.2k,110,120.253240,23.059530,wsje0mv
68,國道1號,159.5k,356.2k,110,120.253240,23.059370,wsje0mv
69,國道1號,159.5k,356.2k,110,120.253240,23.058790,wsje0mt
70,國道1號,159.5k,356.2k,110,120.253240,23.058300,wsje0mt
71,國道1號,159.5k,356.2k,110,120.253240,23.058120,wsje0mt
72,國道1號,159.5k,356.2k,110,120.253230,23.056890,wsje0mm
73,國道1號,159.5k,356.2k,110,120.253230,23.056880,wsje0mm
74,國道1號,159.5k,356.2k,110,120.253230,23.056860,wsje0mm
75,國道1號,159.5k,356.2k,110,120.253230,23.056850,wsje0mm
76,國道1號,159.5k,356.2k,110,120.253230,23.056830,wsje0mm
77,國道1號,159.5k,356.2k,110,120.253230,23.056770,wsje0mm
78,國道1號,159.5k,356.2k,110,120.253200,23.055750,wsje0mj
79,國道1號,159.5k,356.2k,110,120.253200,23.055590,wsje0mj
80,國道1號,159.5k,356.2k,110,120.253200,23.055570,wsje0mj
81,國道1號,159.5k,356.2k,110,120.253200,23.055560,wsje0mj
